Project,Trip,InstrumentType,StationID,Filename,Profiler in [Date],Profiler in [UTC],Profiler in [Lat],Profiler in [Lon],Number of Casts,Comment
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr,UWA_005,2/04/2017,22:10,-13.76905,123.35206,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr,UWA_006,2/04/2017,22:28,-13.76217,123.34339,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr,UWA_007,3/04/2017,0:10,-13.77234,123.34905,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr,UWA_008,3/04/2017,0:59,-13.77459,123.34506,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr,UWA_009,3/04/2017,2:22,-13.7695,123.35364,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr,UWA_010,3/04/2017,4:04,-13.77001,123.35474,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr,UWA_011,3/04/2017,5:59,-13.77075,123.35319,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,,UWA_012,,,,,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr,UWA_013,3/04/2017,8:00,-13.76772,123.34908,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,,UWA_014,,,,,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,,UWA_015,,,,,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,UWAB_transect,UWA_016,5/04/2017,2:10,-14.23525,123.29208,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,UWAB_transect,UWA_017,5/04/2017,2:45,-14.22421,123.28252,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,UWAB_transect,UWA_018,5/04/2017,4:45,-14.21321,123.26593,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,UWAB_transect,UWA_019,5/04/2017,6:50,-14.20002,123.24104,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,UWAB_transect,UWA_020,5/04/2017,7:47,-14.17875,123.21392,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_021,5/04/2017,21:51,-13.76931,123.35479,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_022,5/04/2017,22:04,-13.7692,123.35561,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_023,5/04/2017,23:04,-13.76954,123.35519,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_024,6/04/2017,0:08,-13.76812,123.35592,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_025,6/04/2017,0:21,-13.76598,123.35597,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_026,6/04/2017,2:09,-13.76925,123.35728,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_027,6/04/2017,2:17,-13.76908,123.35719,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_028,6/04/2017,2:24,-13.76866,123.35682,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_029,6/04/2017,3:24,-13.76838,123.357,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_030,6/04/2017,5:14,-13.76592,123.35569,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_031,6/04/2017,5:21,-13.76592,123.35569,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_032,6/04/2017,6:40,-13.77077,123.34959,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_033,6/04/2017,7:30,-13.77084,123.3531,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_034,6/04/2017,8:00,-13.77039,123.3522,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,SP250_12hr_neap,UWA_035,6/04/2017,8:51,-13.77088,123.35331,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,UWAD_transect,UWA_036,7/04/2017,2:48,-14.24766,123.0456,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,UWAD_transect,UWA_037,7/04/2017,3:52,-14.24175,123.04192,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,UWAD_transect,UWA_038,7/04/2017,4:56,-14.23913,123.04561,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,UWAD_transect,UWA_039,7/04/2017,6:22,-14.23576,123.04538,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,UWAD_transect,UWA_040,7/04/2017,7:23,-14.2295,123.04568,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,,UWA_041,,,,,,
KISSME2017,KISSME2017Deployment,rockland_vmp_250,,UWA_042,,,,,,
